label	max_pay	sum_pay	sum_time	between_time	pv_qty_all	pv_qty_search_all	clct_qty_all	cart2_qty_all
0	96	96	1	1	0	0	0	0
1	9963.92	0	0	32	54	8	1	0
0	0	0	0	0	6	1	0	1
0	5689	0	0	370	22	0	0	0
1	3939.4	6838.4	2	7	1	0	0	3
0	3299	1323.88	2	21	1	0	0	0
0	0	0	0	0	13	1	0	0
0	7318	0	0	49	0	0	0	0
0	20107	6506	2	5	1	0	0	0
1	32000	32000	1	1	0	0	0	2
0	14475	20402	4	2	19	4	0	1
0	2198	0	0	134	1	0	0	0
0	0	0	0	0	0	0	0	0
0	499	0	0	56	1	1	0	0
0	49.82	26.27	1	12	0	0	0	0
0	1894.11	1894.11	1	2	3	1	0	0
0	1911	0	0	155	1	1	0	0
0	1599	0	0	367	0	0	0	0
0	249	165	1	27	6	0	0	0
0	2716	99	1	4	4	0	0	0
0	0	0	0	0	0	0	0	1
0	0	0	0	0	1	1	0	0
0	0	0	0	0	4	1	0	0
0	6431.66	9461.27	3	7	17	4	0	0
0	122	0	0	161	22	4	1	0
0	0	0	0	0	5	0	0	4
0	2899	0	0	273	2	0	0	0
0	8799	9004.21	2	5	0	0	0	0
0	3994	0	0	157	2	1	0	0
1	9000	0	0	264	0	0	0	0
0	234.5	234.5	1	1	2	0	0	0
0	8940	0	0	73	5	1	0	0
0	4999	0	0	83	34	2	0	4
1	4319	0	0	67	0	0	0	0
0	5673	7988.59	3	10	4	0	0	4
0	0	0	0	0	28	1	0	0
1	88	0	0	34	32	7	1	1
0	0	0	0	0	5	1	0	0
0	2299	0	0	37	2	0	0	0
0	0	0	0	0	0	1	0	0
0	276	0	0	122	8	5	0	0
0	1399	0	0	264	0	0	0	0
0	8600	2618	1	8	9	0	0	0
0	21747	21747	1	1	0	0	0	4
0	6988	0	0	313	3	0	0	0
1	49990	0	0	70	0	0	0	0
0	3299	0	0	55	7	2	0	1
0	115	0	0	66	3	2	0	0
0	5899	0	0	190	14	0	0	0
1	104.8	0	0	251	1	0	0	0
0	8999	0	0	95	2	0	0	0
0	6698	0	0	238	0	0	0	0
0	4288	4288	1	5	1	0	0	0
0	3670	3045.9	3	1	5	0	0	3
0	0	0	0	0	0	0	0	1
0	7185.49	108.45	2	24	1	0	0	0
0	5352	0	0	47	2	1	0	0
1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	8781.16	17358.22	3	1	1	0	0	0
1	0	0	0	0	0	0	0	2
0	1499	0	0	73	3	0	0	0
0	3299	29.8	1	1	0	0	0	0
0	15498	18324	3	18	0	0	0	0
0	599	0	0	268	4	1	0	0
0	1409	0	0	56	1	0	0	0
0	9237	5037	2	20	5	2	0	0
0	0	0	0	0	2	1	0	0
1	798	798	1	5	0	0	0	0
0	0	0	0	0	9	2	0	0
0	0	0	0	0	0	0	0	29
1	0	0	0	0	18	1	0	1
0	9474	9474	1	5	6	1	0	0
0	0	0	0	0	3	1	0	0
0	799	89.7	1	4	15	0	0	0
0	0	0	0	0	1	0	0	0
1	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	5
0	3989	0	0	217	0	0	0	0
