label	diff_rgst	age	gender	bh_gender	purchase_power
1	3797	73	F	F	2
0	NULL	NULL	M	M	2
0	3793	52	NULL	NULL	NULL
0	3797	50	NULL	NULL	NULL
0	3785	60	NULL	NULL	NULL
0	3784	46	M	N	4
0	3793	45	NULL	NULL	NULL
0	3790	37	NULL	NULL	NULL
0	3790	34	NULL	NULL	NULL
0	3785	38	NULL	NULL	NULL
0	3782	37	NULL	NULL	NULL
0	3776	53	NULL	NULL	NULL
0	3778	40	NULL	NULL	NULL
0	3778	36	NULL	NULL	NULL
0	3775	28	F	F	1
0	NULL	NULL	NULL	NULL	NULL
0	3766	46	F	N	NULL
0	3766	32	NULL	NULL	NULL
0	3761	65	NULL	NULL	NULL
0	3760	34	NULL	NULL	NULL
0	3759	37	NULL	NULL	NULL
0	3759	35	NULL	NULL	NULL
0	3756	36	M	N	3
1	3752	29	F	F	2
0	3748	36	NULL	NULL	NULL
0	3738	46	F	N	3
1	NULL	NULL	NULL	NULL	NULL
0	3731	52	NULL	NULL	NULL
0	3726	41	M	M	1
0	3722	30	NULL	NULL	NULL
0	3711	32	M	N	4
0	NULL	NULL	NULL	NULL	NULL
0	3693	58	NULL	NULL	NULL
0	3685	53	NULL	NULL	NULL
0	3691	40	M	F	3
0	3681	35	M	M	2
0	3680	34	NULL	NULL	NULL
0	3685	37	NULL	NULL	NULL
0	3661	36	NULL	NULL	NULL
0	3658	0	F	N	3
0	NULL	NULL	NULL	NULL	NULL
0	3643	35	M	M	2
0	3641	35	NULL	NULL	NULL
0	3641	43	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	3624	0	NULL	NULL	NULL
0	3627	31	F	F	3
0	3632	51	NULL	NULL	NULL
0	NULL	NULL	M	N	1
1	3610	NULL	NULL	NULL	NULL
0	3592	42	NULL	NULL	NULL
0	3572	38	NULL	NULL	NULL
0	3582	49	NULL	NULL	NULL
0	3564	39	M	M	2
0	3558	35	NULL	NULL	NULL
0	3540	NULL	NULL	NULL	NULL
0	3533	37	NULL	NULL	NULL
0	3508	53	NULL	NULL	NULL
0	3502	46	M	N	2
0	3501	48	NULL	NULL	NULL
1	3489	43	NULL	NULL	NULL
0	3484	55	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
1	3469	37	F	N	2
1	3467	35	M	N	4
0	3461	34	NULL	NULL	NULL
0	3452	31	NULL	NULL	NULL
0	3425	38	NULL	NULL	NULL
0	3426	45	NULL	NULL	NULL
0	3417	37	NULL	NULL	NULL
0	3413	54	NULL	NULL	NULL
0	3402	46	NULL	NULL	NULL
1	3389	39	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	3398	38	NULL	NULL	NULL
0	3395	48	NULL	NULL	NULL
0	3393	35	M	A	3
1	3389	47	NULL	NULL	NULL
1	3391	60	NULL	NULL	NULL
0	3386	37	M	F	NULL
0	3384	5	NULL	NULL	NULL
0	3374	36	NULL	NULL	NULL
0	3371	50	NULL	NULL	NULL
0	3370	55	NULL	NULL	NULL
0	3364	36	NULL	NULL	NULL
1	3352	46	NULL	NULL	NULL
1	3347	41	NULL	NULL	NULL
0	3342	34	NULL	NULL	NULL
1	3313	46	M	N	3
0	NULL	NULL	NULL	NULL	NULL
0	3263	36	NULL	NULL	NULL
1	3269	34	NULL	NULL	NULL
0	3262	34	NULL	NULL	NULL
0	3248	35	NULL	NULL	NULL
0	3234	57	NULL	NULL	NULL
1	3220	38	M	N	3
0	3222	43	NULL	NULL	NULL
0	3222	31	M	A	2
0	3210	33	NULL	NULL	NULL
0	3208	37	F	N	3
0	3208	31	M	N	2
0	3194	38	NULL	NULL	NULL
0	3190	47	NULL	NULL	NULL
0	3191	35	NULL	NULL	NULL
0	3177	31	NULL	NULL	NULL
0	3166	47	M	N	2
0	3164	31	NULL	NULL	NULL
0	3146	54	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	3131	36	NULL	NULL	NULL
0	3124	33	NULL	NULL	NULL
0	3114	27	NULL	NULL	NULL
0	3118	35	NULL	NULL	NULL
0	3105	44	NULL	NULL	NULL
0	3095	30	NULL	NULL	NULL
0	3090	33	NULL	NULL	NULL
0	3093	34	NULL	NULL	NULL
0	3082	35	NULL	NULL	NULL
1	3067	53	M	N	3
1	3041	43	NULL	NULL	NULL
1	3040	29	M	A	3
1	3029	51	M	N	4
0	3013	34	NULL	NULL	NULL
0	3023	40	M	A	1
0	3019	53	M	N	2
0	3017	44	M	M	1
0	3015	34	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	2988	56	NULL	NULL	NULL
0	2996	36	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
1	2971	34	M	M	2
0	2964	62	M	N	1
0	2955	39	NULL	NULL	NULL
0	2956	43	NULL	NULL	NULL
0	2945	56	NULL	NULL	NULL
1	2937	35	M	M	2
0	2934	34	NULL	NULL	NULL
0	2930	47	NULL	NULL	NULL
1	2908	34	NULL	NULL	NULL
0	2910	41	M	M	3
0	2908	35	NULL	NULL	NULL
0	2900	38	M	A	2
0	2892	32	NULL	NULL	NULL
0	2880	45	NULL	NULL	NULL
